10000; -2028; -4154; 4622.607489
11000; -2194; -4232; 4766.913047
12000; -2376; -4301; 4913.652104
13000; -2548; -4387; 5073.270444
14000; -2708; -4482; 5236.562613
15000; -2874; -4584; 5410.446562
16000; -3033; -4675; 5572.675659
17000; -3196; -4782; 5751.690186
18000; -3355; -4896; 5935.220383
19000; -3510; -5009; 6116.386270
100000; -111; -18633; 18633.330620
200000; 18628; -5709; 19483.199558
300000; 10950; 15547; 19016.090792
400000; 343; -18125; 18128.245199
500000; 16937; -1951; 17048.999091
600000; 6762; 14255; 15777.505158
