10000; -2025; -4137; 4606.017152
11000; -2194; -4215; 4751.827122
12000; -2372; -4287; 4899.464563
13000; -2544; -4373; 5059.156550
14000; -2705; -4467; 5222.175217
15000; -2868; -4560; 5386.930852
16000; -3030; -4657; 5555.947174
17000; -3192; -4761; 5732.014044
18000; -3351; -4870; 5911.522731
19000; -3503; -4992; 6098.448409
100000; -112; -18620; 18620.336839
200000; 18611; -5738; 19475.470854
300000; 10276; 15965; 18986.242414
400000; 365; -18132; 18135.673381
500000; 16934; -1970; 17048.203894
600000; 6772; 14230; 15759.215843
