10000; -2247; -2225; 3162.219790
11000; -2452; -2296; 3359.154656
12000; -2662; -2357; 3555.515856
13000; -2864; -2435; 3759.218137
14000; -3059; -2554; 3985.021581
15000; -3267; -2611; 4182.177662
16000; -3469; -2699; 4395.288614
17000; -3667; -2798; 4612.558184
18000; -3867; -2902; 4834.800203
19000; -4062; -3016; 5059.258839
100000; -2227; -18769; 18900.658454
200000; 18351; -6711; 19539.619290
300000; 11460; 15144; 18991.375306
400000; -165; -18127; 18127.750936
500000; 16886; -2354; 17049.290660
600000; 7123; 14058; 15759.584163
