10000; -2248; -2227; 3164.337687
11000; -2450; -2296; 3357.695043
12000; -2662; -2362; 3558.832393
13000; -2865; -2437; 3761.275582
14000; -3065; -2523; 3969.855665
15000; -3266; -2611; 4181.396537
16000; -3462; -2702; 4391.611094
17000; -3661; -2804; 4611.435460
18000; -3864; -2904; 4833.602383
19000; -4061; -3018; 5059.648703
100000; -2221; -18766; 18896.973223
200000; 18350; -6714; 19539.710745
300000; -14213; 12777; 19111.805200
400000; -166; -18126; 18126.760108
500000; 16885; -2365; 17049.822580
600000; 7120; 14059; 15759.120566
