10000; -2727; -3619; 4531.411480
11000; -2944; -3728; 4750.275781
12000; -3165; -3835; 4972.368651
13000; -3373; -3953; 5196.473612
14000; -3582; -4079; 5428.532490
15000; -3781; -4201; 5651.934359
16000; -3989; -4338; 5893.247407
17000; -4184; -4473; 6124.833467
18000; -4382; -4620; 6367.599548
19000; -4573; -4772; 6609.410942
100000; -546; -19149; 19156.782533
200000; 18725; -5768; 19593.250088
300000; -14770; 12128; 19111.286822
400000; -758; -18121; 18136.846611
500000; 16772; -3048; 17046.709008
600000; 7692; 13759; 15763.151493
