10000; -2741; -3655; 4568.600004
11000; -2950; -3763; 4781.492340
12000; -3204; -3814; 4981.185803
13000; -3390; -3987; 5233.380265
14000; -3595; -4117; 5465.685135
15000; -3792; -4247; 5693.529046
16000; -4003; -4378; 5932.191248
17000; -4202; -4517; 6169.286263
18000; -4394; -4661; 6405.634785
19000; -4587; -4815; 6650.172479
100000; -532; -19157; 19164.385537
200000; 18724; -5774; 19594.061651
300000; -14818; 12067; 19109.830271
400000; -728; -18118; 18132.619998
500000; 16782; -3004; 17048.740129
600000; 7668; 13781; 15770.674843
