10000; -2725; -3613; 4525.416445
11000; -2890; -3665; 4667.368102
12000; -3165; -3826; 4965.430596
13000; -3373; -3943; 5188.870590
14000; -3581; -4072; 5422.614222
15000; -3782; -4201; 5652.603383
16000; -3985; -4333; 5886.859434
17000; -4183; -4470; 6121.959572
18000; -4379; -4612; 6359.731519
19000; -4573; -4764; 6603.637255
100000; -583; -19150; 19158.872331
200000; 18723; -5769; 19591.633163
300000; -14751; 12146; 19108.043254
400000; -785; -18119; 18135.996967
500000; 16774; -3052; 17049.392365
600000; 7696; 13767; 15772.086260
