10000; -2739; -3649; 4562.600355
11000; -2954; -3760; 4781.601824
12000; -3174; -3865; 5001.249944
13000; -3386; -3983; 5227.741864
14000; -3591; -4108; 5456.275744
15000; -3794; -4239; 5688.897696
16000; -4001; -4372; 5926.414177
17000; -4199; -4505; 6158.459710
18000; -4393; -4654; 6399.856639
19000; -4580; -4804; 6637.380206
100000; -538; -19158; 19165.552640
200000; 18725; -5763; 19591.778735
300000; -14809; 12071; 19105.379400
400000; -739; -18119; 18134.064134
500000; 16776; -3018; 17045.307272
600000; 7669; 13773; 15764.171085
