10000; -2708; -3660; 4552.896221
11000; -2949; -3758; 4776.940967
12000; -3176; -3864; 5001.746895
13000; -3386; -3983; 5227.741864
14000; -3591; -4110; 5457.781692
15000; -3791; -4233; 5682.426418
16000; -3993; -4371; 5920.277865
17000; -4192; -4510; 6157.350404
18000; -4392; -4657; 6401.352435
19000; -4582; -4809; 6642.379468
100000; -540; -19158; 19165.608887
200000; 18728; -5756; 19592.588395
300000; -14811; 12073; 19108.193269
400000; -734; -18115; 18129.864340
500000; 16773; -3018; 17042.354679
600000; 7675; 13776; 15769.711507
