10000; -1676; -10359; 10493.705590
11000; -1751; -10441; 10586.806978
12000; -1843; -10517; 10677.262664
13000; -1926; -10608; 10781.425694
14000; -2008; -10698; 10884.818235
15000; -2086; -10789; 10988.808716
16000; -2174; -10890; 11104.880729
17000; -2253; -10991; 11219.540543
18000; -2331; -11091; 11333.306755
19000; -2404; -11199; 11454.117906
100000; 4249; -18436; 18919.304876
200000; 19283; -3247; 19554.464912
300000; -16580; 9520; 19118.755190
400000; 1523; -18082; 18146.025818
500000; 16963; -1823; 17060.676950
600000; 6977; 14138; 15765.835626
