10000; -1669; -10351; 10484.691793
11000; -1751; -10438; 10583.848308
12000; -1843; -10518; 10678.247656
13000; -1923; -10603; 10775.970397
14000; -2003; -10698; 10883.896958
15000; -2082; -10797; 10995.905283
16000; -2166; -10886; 11099.394218
17000; -2244; -10982; 11208.918770
18000; -2327; -11084; 11325.633978
19000; -2407; -11200; 11455.725599
100000; 4256; -18438; 18922.826956
200000; 19299; -3210; 19564.138136
300000; -16562; 9529; 19107.634207
400000; 1393; -18085; 18138.568687
500000; 16944; -1852; 17044.912437
600000; 7016; 14119; 15766.116104
