10000; -1668; -10359; 10492.430843
11000; -1747; -10437; 10582.201000
12000; -1859; -10541; 10703.670492
13000; -1926; -10614; 10787.329234
14000; -2007; -10704; 10890.530979
15000; -2090; -10804; 11004.295343
16000; -2172; -10894; 11108.412128
17000; -2256; -10988; 11217.204643
18000; -2334; -11099; 11341.752819
19000; -2407; -11207; 11462.569433
100000; 4267; -18463; 18949.661158
200000; 19294; -3190; 19555.933524
300000; -16562; 9504; 19095.178973
400000; 1435; -18062; 18118.914675
500000; 16959; -1788; 17052.994605
600000; 6955; 14164; 15779.446156
