10000; -1671; -10356; 10489.946473
11000; -1752; -10446; 10591.903512
12000; -1841; -10521; 10680.857737
13000; -1927; -10613; 10786.523907
14000; -2007; -10705; 10891.513853
15000; -2089; -10792; 10992.323913
16000; -2169; -10886; 11099.980045
17000; -2258; -10991; 11220.545664
18000; -2334; -11090; 11332.945601
19000; -2409; -11201; 11457.123636
100000; 4232; -18431; 18910.620958
200000; 19289; -3241; 19559.386545
300000; -16594; 9502; 19121.946554
400000; 1459; -18045; 18103.886489
500000; 16955; -1795; 17049.752198
600000; 6967; 14162; 15782.944370
