10000; -1670; -10360; 10493.736227
11000; -1751; -10444; 10589.765673
12000; -1844; -10523; 10683.345216
13000; -1926; -10610; 10783.393529
14000; -2008; -10704; 10890.715312
15000; -2090; -10795; 10995.459290
16000; -2170; -10890; 11104.098343
17000; -2251; -10993; 11221.098431
18000; -2332; -11101; 11343.298682
19000; -2403; -11204; 11458.796839
100000; 4250; -18454; 18937.069890
200000; 19295; -3205; 19559.372434
300000; -16588; 9513; 19122.209940
400000; 1459; -18043; 18101.892995
500000; 16945; -1835; 17044.067883
600000; 6973; 14162; 15785.593844
