10000; -1668; -10359; 10492.430843
11000; -1751; -10445; 10590.751909
12000; -1843; -10521; 10681.202648
13000; -1927; -10613; 10786.523907
14000; -2005; -10704; 10890.162579
15000; -2089; -10804; 11004.105461
16000; -2171; -10894; 11108.216644
17000; -2250; -10998; 11225.796364
18000; -2335; -11086; 11329.237441
19000; -2406; -11209; 11464.314938
100000; 4280; -18423; 18913.628129
200000; 19293; -3215; 19559.040723
300000; -16567; 9534; 19114.461672
400000; 1542; -18053; 18118.735414
500000; 16949; -1801; 17044.418500
600000; 6958; 14140; 15759.231073
