10000; -1855; -5163; 5486.127414
11000; -1988; -5234; 5598.830235
12000; -2135; -5297; 5711.079933
13000; -2273; -5371; 5832.166836
14000; -2404; -5453; 5959.398040
15000; -2539; -5534; 6088.651493
16000; -2672; -5615; 6218.344555
17000; -2810; -5698; 6353.212101
18000; -2939; -5795; 6497.672352
19000; -3069; -5887; 6638.940428
100000; -341; -18683; 18686.111688
200000; 18542; -6079; 19513.072669
300000; 10856; 15636; 19035.157788
400000; -657; -18109; 18120.914160
500000; 16823; -2750; 17046.284903
600000; 7376; 13935; 15766.724485
