10000; -1853; -5163; 5485.451486
11000; -1985; -5232; 5595.895728
12000; -2120; -5306; 5713.845990
13000; -2270; -5366; 5826.393052
14000; -2401; -5449; 5954.527857
15000; -2536; -5526; 6080.129275
16000; -2670; -5612; 6214.776263
17000; -2800; -5697; 6347.897999
18000; -2938; -5792; 6494.544480
19000; -3067; -5887; 6638.016119
100000; -368; -18669; 18672.626623
200000; 18539; -6076; 19509.287455
300000; -13519; 13506; 19109.562973
400000; -664; -18126; 18138.157900
500000; 16830; -2746; 17052.548666
600000; 7380; 13940; 15773.014931
