10000; -2329; -3003; 3800.296041
11000; -2523; -3083; 3983.769321
12000; -2728; -3158; 4173.122093
13000; -2923; -3241; 4364.402594
14000; -3114; -3337; 4564.270478
15000; -3304; -3436; 4766.813611
16000; -3497; -3527; 4966.763332
17000; -3687; -3635; 5177.566417
18000; -3881; -3748; 5395.337339
19000; -4060; -3867; 5606.896557
100000; -1600; -18902; 18969.596833
200000; 18477; -6407; 19556.307883
300000; -14698; 12213; 19109.907718
400000; 91; -18131; 18131.228364
500000; 16900; -2228; 17046.230786
600000; 7051; 14100; 15764.726480
