10000; -1998; -7684; 7939.512579
11000; -2111; -7785; 8066.135754
12000; -2234; -7881; 8191.514939
13000; -2345; -7986; 8323.173734
14000; -2453; -8097; 8460.414765
15000; -2560; -8210; 8599.866278
16000; -2663; -8321; 8736.739094
17000; -2766; -8434; 8875.985128
18000; -2868; -8563; 9030.525621
19000; -2960; -8681; 9171.769786
100000; 2874; -18511; 18732.778678
200000; 19005; -4275; 19479.878080
300000; 9566; 16439; 19019.702337
400000; 239; -18126; 18127.575596
500000; 16919; -2089; 17047.477291
600000; 6883; 14178; 15760.436955
