10000; -2682; -3181; 4160.755340
11000; -2904; -3288; 4386.816613
12000; -3130; -3387; 4611.796721
13000; -3350; -3497; 4842.675810
14000; -3562; -3622; 5080.032283
15000; -3771; -3740; 5311.124269
16000; -3984; -3870; 5554.201653
17000; -4189; -4005; 5795.493594
18000; -4394; -4147; 6041.923949
19000; -4589; -4297; 6286.742400
100000; -777; -19100; 19115.797891
200000; 18693; -5825; 19579.552446
300000; -15075; 11738; 19105.922354
400000; -193; -18140; 18141.026680
500000; 16845; -2597; 17044.014609
600000; 7390; 13915; 15755.612492
