10000; -2852; -3184; 4274.547929
11000; -3085; -3296; 4514.514481
12000; -3327; -3405; 4760.562362
13000; -3559; -3524; 5008.498478
14000; -3782; -3654; 5258.824964
15000; -4003; -3788; 5511.166211
16000; -4225; -3925; 5766.823216
17000; -4444; -4060; 6019.363421
18000; -4657; -4223; 6286.603057
19000; -4865; -4376; 6543.515951
100000; -670; -19242; 19253.661054
200000; 18767; -5684; 19608.879239
300000; -16488; 9677; 19118.014358
400000; 406; -18106; 18110.551400
500000; 16838; -2615; 17039.849442
600000; 7619; 13803; 15766.165355
