10000; -2851; -3188; 4276.861583
11000; -3080; -3297; 4511.829895
12000; -3324; -3404; 4757.750729
13000; -3555; -3524; 5005.656900
14000; -3777; -3656; 5256.621063
15000; -4002; -3786; 5509.065256
16000; -4220; -3925; 5763.161025
17000; -4438; -4065; 6018.311142
18000; -4653; -4222; 6282.968486
19000; -4859; -4375; 6538.387110
100000; -688; -19233; 19245.301582
200000; 18773; -5673; 19611.436918
300000; -16466; 9716; 19118.833960
400000; 399; -18102; 18106.396798
500000; 16836; -2632; 17040.490603
600000; 7632; 13794; 15764.576112
