10000; -2071; -9728; 9946.005480
11000; -2154; -9853; 10085.699034
12000; -2252; -9973; 10224.100596
13000; -2332; -10097; 10362.800442
14000; -2410; -10231; 10511.016174
15000; -2482; -10356; 10649.275093
16000; -2552; -10482; 10788.189283
17000; -2623; -10619; 10938.157523
18000; -2692; -10752; 11083.878743
19000; -2751; -10884; 11226.284203
100000; 4608; -18269; 18841.178971
200000; 19240; -3200; 19504.296962
300000; 8947; 16785; 19020.647570
400000; 253; -18127; 18128.765485
500000; 16934; -2043; 17056.793515
600000; 6835; 14214; 15771.969471
