10000; -2295; -2413; 3330.104203
11000; -2503; -2490; 3530.596125
12000; -2781; -2561; 3780.566360
13000; -2923; -2631; 3932.695005
14000; -3124; -2724; 4144.822312
15000; -3323; -2815; 4355.060734
16000; -3527; -2910; 4572.507955
17000; -3727; -3013; 4792.566953
18000; -3929; -3123; 5018.980972
19000; -4127; -3239; 5246.260573
100000; -2030; -18835; 18944.078890
200000; 18399; -6607; 19549.313287
300000; -14640; 12283; 19110.250888
400000; 146; -18130; 18130.587856
500000; 16904; -2184; 17044.502691
600000; 7008; 14121; 15764.349178
