10000; -2055; -3597; 4142.636117
11000; -2229; -3670; 4293.872495
12000; -2420; -3739; 4453.820944
13000; -2596; -3821; 4619.443365
14000; -2769; -3910; 4791.185761
15000; -2942; -4002; 4967.028085
16000; -3115; -4095; 5145.119046
17000; -3290; -4197; 5332.814360
18000; -3458; -4305; 5521.846521
19000; -3620; -4423; 5715.534008
100000; -857; -18670; 18689.658879
200000; 18518; -6120; 19503.095242
300000; 10830; 15556; 18954.630991
400000; 360; -18126; 18129.574623
500000; 16939; -1934; 17049.049152
600000; 6748; 14279; 15793.205659
