10000; -2057; -3582; 4130.614119
11000; -2230; -3652; 4279.019046
12000; -2424; -3720; 4440.064864
13000; -2604; -3803; 4609.080711
14000; -2779; -3896; 4785.567573
15000; -2949; -3983; 4955.894470
16000; -3124; -4079; 5137.861131
17000; -3293; -4182; 5322.872627
18000; -3465; -4288; 5513.000000
19000; -3625; -4402; 5702.475690
100000; -883; -18657; 18677.883660
200000; 18509; -6136; 19499.578893
300000; 10795; 15575; 18950.267808
400000; 370; -18125; 18128.776158
500000; 16939; -1926; 17048.143506
600000; 6799; 14199; 15742.871466
