10000; -2055; -3517; 4073.366421
11000; -2236; -3591; 4230.245501
12000; -2422; -3660; 4388.813507
13000; -2604; -3739; 4556.417123
14000; -2776; -3829; 4729.420366
15000; -2949; -3917; 4903.008260
16000; -3121; -4011; 5082.200508
17000; -3292; -4114; 5268.990416
18000; -3466; -4224; 5464.003294
19000; -3630; -4338; 5656.425019
100000; -934; -18664; 18687.355404
200000; 18493; -6168; 19494.493402
300000; 10866; 15503; 18931.797722
400000; 343; -18126; 18129.245020
500000; 16937; -1943; 17048.085464
600000; 6813; 14193; 15743.513521
