10000; -2643; -3099; 4072.990302
11000; -2856; -3202; 4290.633986
12000; -3085; -3301; 4518.166221
13000; -3299; -3410; 4744.628647
14000; -3509; -3532; 4978.765409
15000; -3718; -3650; 5210.184642
16000; -3926; -3781; 5450.636385
17000; -4121; -3908; 5679.357798
18000; -4325; -4051; 5925.894532
19000; -4519; -4195; 6165.986215
100000; -880; -19064; 19084.299725
200000; 18656; -5930; 19575.781875
300000; -14922; 11928; 19103.488373
400000; -136; -18135; 18135.509946
500000; 16861; -2478; 17042.118560
600000; 7263; 13987; 15760.308944
