10000; -2023; -6474; 6782.713690
11000; -2148; -6565; 6907.469073
12000; -2281; -6653; 7033.162162
13000; -2413; -6748; 7166.454702
14000; -2531; -6851; 7303.571866
15000; -2651; -6955; 7443.105938
16000; -2774; -7057; 7582.633118
17000; -2890; -7171; 7731.451416
18000; -3008; -7286; 7882.503409
19000; -3125; -7408; 8040.154787
100000; 1762; -18605; 18688.249490
200000; 18871; -4851; 19484.528272
300000; 10523; 15851; 19025.975139
400000; 198; -18137; 18138.080742
500000; 16918; -2098; 17047.590094
600000; 6884; 14188; 15769.870006
