10000; -1959; -6655; 6937.341422
11000; -2083; -6742; 7056.447619
12000; -2220; -6831; 7182.684804
13000; -2348; -6924; 7311.284429
14000; -2469; -7026; 7447.189873
15000; -2589; -7131; 7586.440667
16000; -2709; -7229; 7719.917228
17000; -2829; -7339; 7865.377423
18000; -2946; -7454; 8015.050343
19000; -3057; -7574; 8167.663375
100000; 1915; -18588; 18686.384589
200000; 18895; -4786; 19491.711597
300000; 9854; 16241; 18996.615409
400000; 197; -18136; 18137.069912
500000; 16917; -2110; 17048.078748
600000; 6880; 14190; 15769.923906
